Image Code,Item/Page Title,Price,Listing Price, Free Shipping, size, Reccomended Size, Measurements,Colour,Condition,Description_1,Description_2, Item Url 
23,Vintage Puma Sweatshirt ~ Large,£30,44.925,No,Size on label: XXL,Recommended size: L,"Pit to pit: 26"" // Shoulder to bottom: 27"" ",Colour: Navy ,Condition: Good vintage condition.   ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-puma-sweatshirt-large-1
24,Vintage Adidas Sweatshirt ~ Medium,£28.99,43.485,No,Size on label: M,Recommended size: M,"Pit to pit: 23.5"" // Shoulder to bottom: 27"" ",Colour: Brown ,Condition: Very good vintage condition.   ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-sweatshirt-medium-2
25,Vintage Adidas Sweatshirt ~ Xtra Large,£26.95,40.425,No,Size on label: XL,Recommended size: XL,"Pit to pit: 25"" // Shoulder to bottom: 31"" ",Colour: Dark Blue. ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-sweatshirt-xtra-large
26,Vintage Adidas Sweatshirt ~ Xtra Large,£27.99,41.985,No,Size on label: XL,Recommended size: XL,"Pit to pit: 26"" // Shoulder to bottom: 28.5"" ",Colour: Drak Red,Condition: Very good vintage condition.  ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-sweatshirt-xtra-large-3
27,Vintage 00's Adidas Sweatshirt ~ Xtra Large,£27.99,41.985,No,Size on label: XL,Recommended size: XL,"Pit to pit: 26"" // Shoulder to bottom: 29"" ",Colour: Grey ,Condition: Very good vintage condition.  ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-00s-adidas-sweatshirt-xtra-large
28,Vintage Adidas Sweatshirt ~ Xtra Large,£27.99,41.985,No,Size on label: XL,Recommended size: XL ,"Pit to pit: 26"" // Shoulder to bottom: 29"" ",Colour: Dark Blue ,Condition: Very good vintage condition.   ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-sweatshirt-xtra-large-1
1,Vintage Tommy Hilfiger Coat ~ XXL,£49.95,72.4275,No,Size on label: XXL,Recommended size: XXL,"Pit to pit: 24.5"" // Shoulder to bottom: 32"" ",Colour: Navy ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-tommy-hilfiger-coat-xxl
2,Vintage 'Peter Lukas' Leather Bomber Jacket ~ Large,£50,72.4275,No,Size on label: L ,Recommended size: L ,"Pit to pit: 24"" // Shoulder to bottom: 27"" ",Colour: Black, Dark Red, Blue & Green Trim. ,Condition: Very good vintage condition! ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-peter-lukas-leather-bomber-jacket-large
3,Vintage Tommy Hilfiger Quilted Jacket ~ Small,£34.95,50.6775,No,Size on label: N/A,Recommended size: Small,"Pit to pit: 20"" // Shoulder to bottom: 29"" ",Colour: Black ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-tommy-hilfiger-quilted-jacket-small
4,Vintage Carhartt Traditional Jacket ~ XXL,£32.95,47.7775,No,Size on label: N/A,Recommended size: XL/XXL ,"Pit to pit: 29"" // Shoulder to bottom: 32"" ",Colour: Black ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-carhartt-traditional-jacket-xxl-1
5,Vintage 90's Tommy Hilfiger Jeans ~ 36x32,£34,49.3,No,Size on label: 36x32,Recommended Size: 36x32,Colour: Dark Denim Blue ,Condition: Excellent vintage condition! ,Fit: Classic straight. ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-90s-tommy-hilfiger-jeans-36x32
6,Vintage 'Sun Belt' Denim Jacket ~ Medium,£28.99,43.485,No,Size on label: M,Recommended size: M,"Pit to pit: 23"" // Shoulder to bottom: 31"" ",Colour: Light Denim ,Condition: Good vintage condition, some minor signs of wear. ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/vintage-denim-jacket-medium
7,Vintage Adidas Sweatshirt ~ Xtra Large,£24.99,37.485,No,Size on label: N/A,Recommended size: XL,"Pit to pit: 26"" // Shoulder to bottom: 31"" ",Colour: Dark Brown ,Condition: Good vintage condition, some minor dirt marks.  ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-sweatshirt-xtra-large-4
8,Vintage Nike Basketball Track Jacket ~ Xtra Large,£24.95,37.425,No,Size on label: N/A,Recommended size: XL,"Pit to pit: 28"" // Shoulder to bottom: 29"" ",Colour: Blue, Turquoise Trim ,Condition: Very good vintage condition! ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/vintage-nike-basketball-track-jacket-xtra-large
9,Vintage Champion Sweatshirt ~ Medium,£25,37.5,No,Size on label: M,Recommended size: M,"Pit to pit: 22.5"" // Shoulder to bottom: 26"" ",Colour: Dark Grey ,Condition: Good vintage condition.  ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-champion-sweatshirt-medium
10,Vintage Beige Dickies Pants ~ 35x30,£25,37.5,No,Size on label: 36x30,Recommended Size: 35x30, Colour: Beige ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others, please get in touch via email at taylors.thrift.shop@gmail.com,https://www.taylorsthrift.com//collections/sale-items/products/vintage-beige-dickies-pants-36x30
11,Vintage Black Dickies Pants ~ 36x32,£25,37.5,No,Size on label: 38x32,Recommended size: 36x32,Colour: Black ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others, please get in touch via email at taylors.thrift.shop@gmail.com,https://www.taylorsthrift.com//collections/sale-items/products/vintage-black-dickies-pants-38x32-1
12,Vintage Chaps by Ralph Lauren 1/4 Zip Sweatshirt ~ Large,£17.99,28.784,No,Size on label: L,Recommended size: L ,"Pit to pit: 23"" // Shoulder to bottom: 30"" ",Colour: Grey,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-chaps-by-ralph-lauren-1-4-zip-sweater-large
13,Reebok Track Jacket ~ Medium,£12.95,20.72,No,Size on label: M,Recommended size: M,"Pit to pit: 24"" // Shoulder to bottom: 26"" ",Colour: Blue / White,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/reebok-track-jacket-medium
14,Vintage Nike Zip-Up Hoodie ~ Xtra Large,£20,20.72,No,Size on label: XL ,Recommended size: XL ,"Pit to pit: 26"" // Shoulder to bottom: 30"" ",Colour: Red ,Condition: Excellent vintage condition!,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-nike-zip-up-hooie-xtra-large
15,Vintage Adidas Zip-Up Hoodie ~ Xtra Large,£18,28.8,No,Size on label: XL ,Recommended size: XL ,"Pit to pit: 25"" // Shoulder to bottom: 29"" ",Colour: Red ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-zip-up-hoodie-xtra-large
16,Adidas Track Jacket ~ Xtra Large,£18.95,30.32,No,Size on label: XL ,Recommended size: XL,"Pit to pit: 28"" // Shoulder to bottom: 32"" ",Colour: Tourquoise ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/adidas-track-jacket-xtra-large
17,Vintage Tommy Hilfiger Polo Shirt ~ Xtra Large,£15.99,25.584,No,Size on label: XL ,Recommended size: XL ,"Pit to pit: 24"" // Shoulder to bottom: 32"" ",Colour: Blue, with white stripes. ,Condition: Excellent vintage condition! ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/vintage-tommy-hilfiger-polo-shirt-xtra-large
19,Striped Patterned Knitted Jumper ~ Large,£14.95,23.92,No,Size on label: N/A ,Recommended size: L,"Pit to pit: 22"" // Shoulder to bottom: 29"" ",Colour: blue, black & green,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/striped-patterned-knitted-jumper-large
20,Vintage Dickies Shorts ~ 36,£12.99,20.784,No,"Size on label: 38"" Waist ","Recommended Size: 36""",Colour: Navy  ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others, please get in touch via email at taylors.thrift.shop@gmail.com,https://www.taylorsthrift.com//collections/sale-items/products/vintage-dickies-shorts-38
21,Adidas T-Shirt ~ Xtra Large,£15,24,No,Size on label: XL ,Recommended size: L ,"Pit to pit: 24"" // Shoulder to bottom: 29"" ",Colour: Orange ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/adidas-t-shirt-xtra-large
23,Vintage Nike T-Shirt ~ Xtra Large,£14,22.4,No,Size on label: XL,Recommended size: XL,"Pit to pit: 23"" // Shoulder to bottom: 29"" ",Colour: Grey ,Condition: Good vintage condition.   ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-nike-t-shirt-xtra-large-2
24,Vintage Nike T-Shirt ~ Xtra Large,£14,22.4,No,Size on label: XL,Recommended size: XL,"Pit to pit: 24"" // Shoulder to bottom: 28"" ",Colour: Black ,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-nike-t-shirt-xtra-large
25,Vintage Reebok Running / Swimming Shorts ~ Xtra Large,£14,22.4,No,Size on label: N/A,Recommended size: L/XL ,Colour: multi  ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others, please get in touch via email at taylors.thrift.shop@gmail.com,https://www.taylorsthrift.com//collections/sale-items/products/vintage-reebok-running-swimming-shorts-xtra-large
26,Vintage Nike Swim Shorts ~ Large,£9.99,16.983,No,Size on label: L,Recommended size: L ,Colour: Red  ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others, please get in touch via email at taylors.thrift.shop@gmail.com,https://www.taylorsthrift.com//collections/sale-items/products/vintage-nike-swim-shorts-large
1,Fila Track Jacket ~ Xtra Large,£7.49,12.733,No,Size on label: XL,Recommended size: L / XL,"Pit to pit: 24"" // Shoulder to bottom: 25"" ",Colour: Baby Blue / Charcoal Grey / White ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/fila-track-jacket-xtra-large
2,Vintage Champion Basketball Shorts ~ XXL,£12,19.2,No,Size on label: XXL ,Recommended size: XL/XXL (drawstring to tighten) ,Colour: Blue ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others, please get in touch via email at taylors.thrift.shop@gmail.com,https://www.taylorsthrift.com//collections/sale-items/products/vintage-champion-basketball-shorts-xxl
3,Vintage Womens Champion Shorts ~ Medium,£12,19.2,No,Size on label: M,Recommended size: M ,Colour: Navy ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others, please get in touch via email at taylors.thrift.shop@gmail.com,https://www.taylorsthrift.com//collections/sale-items/products/vintage-womens-champion-shorts-medium
4,Vintage Nike Swim Shorts ~ Xtra Large,£12,19.2,No,Size on label: XL ,Recommended size: XL ,Colour: black & green ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others, please get in touch via email at taylors.thrift.shop@gmail.com,https://www.taylorsthrift.com//collections/sale-items/products/vintage-nike-swim-shorts-xtra-large
5,Aztec Knitted Polar Neck ~ Small,£9.95,16.915,No,Size on label: N/A,Recommended size: S,"Pit to pit: 20"" // Shoulder to bottom: 21"" ",Colour: Red & Black ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/aztec-knitted-polar-neck-small
8,Womens Tommy Hilfiger Denim Shorts ~ 13,£7,11.9,No,Size on label: 13,Recommended size: 13 ,Colour:Denim ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others, please get in touch via email at taylors.thrift.shop@gmail.com,https://www.taylorsthrift.com//collections/sale-items/products/womens-tommy-hilfiger-denim-shorts-13
10,Abstract Patterned Cardigan ~ Medium,£4.95,8.415,No,Size on label: M,Recommended size: M,"Pit to pit: 22"" // Shoulder to bottom: 26"" ",Colour: Multi; black, red, grey ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/abstract-patterned-cardigan-medium
11,Vintage Nike Shorts ~ Large,£4.99,8.483,No,Size on label: L,Recommended size: L ,Colour: Grey ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others, please get in touch via email at taylors.thrift.shop@gmail.com,https://www.taylorsthrift.com//collections/sale-items/products/vintage-nike-shorts-large
12,Vintage Asics Hoodie ~ Xtra Large,£44.95,65.1775,No,Size on label: XL,Recommended size: XL,"Pit to pit: 27"" // Shoulder to bottom: 30"" ",Colour: Yellow ,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-asics-hoodie-xtra-large
14,Vintage Adidas Waterproof Jacket ~ Xtra Large,£29.99,44.985,No,Size on label: XL,Recommended size: XL,"Pit to pit: 28"" // Shoulder to bottom: 33"" ",Colour: Blue ,Condition: Very good vintage condition!  ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-waterproof-jacket-xtra-large
15,Vintage Adidas Track Jacket ~ Xtra Large,£29.99,44.985,No,Size on label: XL,Recommended size: XL,"Pit to pit: 28"" // Shoulder to bottom: 28.5"" ",Colour: Red, Blue & White ,Condition: Good vintage condition, some minor scuff marks. Please see all photos.  ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-track-jacket-xtra-large
16,Vintage Adidas Track Jacket ~ Xtra Large,£32.99,47.8355,No,Size on label: N/A ,Recommended size: XL,"Pit to pit: 29"" // Shoulder to bottom: 28"" ",Colour: Dark Blue, Red Trim ,Condition: Very good vintage condition.   ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-track-jacket-xtra-large-1
17,Vintage Adidas Jacket ~ Large,£29.95,44.925,No,Size on label: D6 F180 ,Recommended size: L,"Pit to pit: 26"" // Shoulder to bottom: 27"" ",Colour: Dark Green, Black, Orange Trim ,Condition: Good vintage condition! Some marks on white mesh. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-jacket-large
18,Vintage Adidas Sweatshirt ~ Medium,£29.95,44.925,No,Size on label: N/A,Recommended size: M,"Pit to pit: 22"" // Shoulder to bottom: 26"" ",Colour: Dark Blue ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-sweatshirt-medium-3
19,Vintage Adidas Track Jacket ~ XL,£29.95,44.925,No,Size on label: XL ,Recommended size: XL ,"Pit to pit: 28"" // Shoulder to bottom: 29"" ",Colour: Green/Grey & Purple ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-track-jacket-xl
20,Vintage 'Colo Wear' Party Shirt ~ Large,£4.95,8.415,No,Size on label: L ,Recommended size: L,"Pit to pit: 23"" // Shoulder to bottom: 27"" ",Colour: Red  ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-colo-wear-party-shirt-large
21,Vintage 'Gentlemen Of Today' Italian Shirt ~ Xtra Large,£9.95,16.915,No,Size on label: XL ,Recommended size: XL,"Pit to pit: 24"" // Shoulder to bottom: 29"" ",Colour: gold / floral ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-gentlemen-of-today-italian-shirt-xtra-large
22,Vintage 'Jawa Batik' Tribal Shirt ~ Medium,£9.95,16.915,No,Size on label: M ,Recommended size: M,"Pit to pit: 21"" // Shoulder to bottom: 28"" ",Colour: Gold / Blue ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-jawa-batik-indonesian-shirt
23,Vintage 'Papi' Abstract Shirt ~ Large,£9.95,16.915,No,Size on label: N/A, Recommended size: L ,"Pit to pit: 23"" // Shoulder to bottom: 27"" ",Colour: Multi ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-papi-abstract-shirt-large
24,Vintage 'MaC' Italian Shirt,£9.95,16.915,No,Size on label: S,Recommended size: S/M,"Pit to pit: 21"" // Shoulder to bottom: 18"" ",Colour: Black ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-mac-italian-shirt
25,Vintage ' Pierre Cardin' Hawaiian Shirt ~ Xtra Large,£14.95,23.92,No,Size on label: XL ,Recommended size: XL,"Pit to pit: 24"" // Shoulder to bottom: 28.5"" ",Colour: Red ,Please note all of my items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-pierre-cardin-leaf-shirt-xtra-large
26,Vintage 'Pierre Cardin' Hawaiian Shirt ~ Xtra Large,£14.95,23.92,No,Size on label: XL  ,Recommended size: XL,"Pit to pit: 24"" // Shoulder to bottom: 29"" ",Colour: Multi ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,For more information on this product or any others,https://www.taylorsthrift.com//collections/sale-items/products/vintage-pierre-cardin-hawaiian-shirt
